imdb_id,poster_url
tt0004972,https://m.media-amazon.com/images/M/MV5BZWFjZTg2NDEtMTVmNy00MWEwLTg3OGEtZjRmMTI5YTdkZDhkXkEyXkFqcGc@._V1_UY1000.jpg
tt0006864,https://m.media-amazon.com/images/M/MV5BNmVhY2U4Y2QtYTg1ZC00OWZkLWI0OTgtZTkwZmY5Y2ZlMjUxXkEyXkFqcGc@._V1_UY1000.jpg
tt0009968,https://m.media-amazon.com/images/M/MV5BNTM0MjdkZTAtZGMzNi00MTU0LTg3MGYtNmRjMmVkMTY4OGMzXkEyXkFqcGc@._V1_UY1000.jpg
tt0010323,https://m.media-amazon.com/images/M/MV5BMzQ5MThjZTMtOTA5ZS00ZWIyLWE5ZGUtNzIzMzFmNWQ1YWZjXkEyXkFqcGc@._V1_UY1000.jpg
tt0012349,https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_UY1000.jpg
tt0012364,https://m.media-amazon.com/images/M/MV5BNGVmY2EyZTktYzUwMy00YTU1LWJhZDYtNjIwYTFhMTZhOTVhXkEyXkFqcGc@._V1_UY1000.jpg
tt0013257,https://m.media-amazon.com/images/M/MV5BMjEwMzgzMTEtYzI3ZS00M2M4LWJjZGYtY2UxZjgzNzNjNjc0XkEyXkFqcGc@._V1_UY1000.jpg
tt0013427,https://m.media-amazon.com/images/M/MV5BNWM2N2EzNTUtNjBiNy00ZTdmLWIzN2ItM2ZmNjY5MTEwMjA3XkEyXkFqcGc@._V1_UY1000.jpg
tt0013442,https://m.media-amazon.com/images/M/MV5BMjEwOWYzYTYtMzIyMS00MTQ0LTgyZTktZWU2MGUyZTYxNmVjXkEyXkFqcGc@._V1_UY1000.jpg
tt0014341,https://m.media-amazon.com/images/M/MV5BY2RhZjE4ZmUtN2JhNC00YzczLThjMTctZmFlYjFkMTA0ODJhXkEyXkFqcGc@._V1_UY1000.jpg
tt0014429,https://m.media-amazon.com/images/M/MV5BNDQwZWNkMDctM2NiOS00ZmFlLWJlODYtMzlmOGFmZWM5NTJmXkEyXkFqcGc@._V1_UY1000.jpg
tt0015064,https://m.media-amazon.com/images/M/MV5BNWUzYTg3YzktY2YyMi00NTZmLWEwNTQtMDY2YjgyNTIzYTllXkEyXkFqcGc@._V1_UY1000.jpg
tt0015163,https://m.media-amazon.com/images/M/MV5BM2E4Y2E2MzItMzMyOS00OWM1LWIxMDAtZTk5N2UxOGY3OWIzXkEyXkFqcGc@._V1_UY1000.jpg
tt0015324,https://m.media-amazon.com/images/M/MV5BOGEwMTJlNGYtNDRkOC00Y2RjLWI3NjgtMzBmNTYxYmJhZjAyXkEyXkFqcGc@._V1_UY1000.jpg
tt0015648,https://m.media-amazon.com/images/M/MV5BM2RmM2JjOTgtZTIxYS00M2QzLWJkZjctZjliZDFkMTI4MmZhXkEyXkFqcGc@._V1_UY1000.jpg
tt0015864,https://m.media-amazon.com/images/M/MV5BMzAzZmEyY2EtNDg0Mi00NzMzLWI3ZmItYTVlZTdjZmJmOTZhXkEyXkFqcGc@._V1_UY1000.jpg
